Geneid	RNA STAR on data 9, data 28, and data 27: mapped.bam
ZBED9	1
TRR-TCG5-1	0
LOC107986586	0
TRI-TAT3-1	0
GPX5	0
GPX6	2
PROP1	9
SUDS3P1	1
LOC100128340	5
LOC728554	0
MCCC2	235
HMGN1P12	0
LOC100419852	0
BDP1	12
LOC107987434	0
PMCHL2	1
LINC02197	2
LOC107986421	0
LOC441081	1
GUSBP17	0
LOC107987433	0
GUSBP9	79
CDH12P4	0
NAIPP4	13
GTF2H2	7
NAIPP1	0
NAIP	5
SMN1	11
SERF1A	1
CDH12P3	0
NAIPP2	12
SMN2	1
SERF1B	0
CDH12P2	0
LOC105369228	0
LOC105379023	0
LOC112268330	0
GUSBP1	59
LOC728452	0
LOC728506	0
GUSBP15	15
GUSBP3	2
LOC105379623	0
RARRES2P4	0
FRG2	0
DUX4L9	0
RNA5SP175	0
RNA5SP174	0
TUBB7P	0
MLLT10P2	0
FRG1	3
LINC01881	8
LINC01880	0
LOC105373980	0
LOC285097	0
LINC01238	0
LINC01237	0
LOC101926946	9
LOC105374866	2
LOC112268329	0
OR2G6	4
OR2AS2P	0
OR2T5	0
LOC105373277	0
OR2T3	0
LOC105373279	0
OR2T2	0
OR2T7	0
OR2T1	0
OR2T6	0
OR2T4	0
TBX22	1
LINC00685	6
APOBEC3A_B	0
LOC105373032	0
NCF4	120
NCF4-AS1	0
PVALB	0
NDUFA9P1	0
RPL41P3	0
RBFOX2	20
APOL5	4
MRPS16P3	0
CABIN1	426
GSTTP2	0
GSTT1	592
GSTT1-AS1	0
LOC391322	5
LOC100420769	9
EIF4EBP1P2	0
MTND1P13	1
GSTT4	2
GSTT2	13
DDT	0
DDTL	0
GSTT2B	13
LOC100652871	0
LOC100129358	0
LOC107985558	0
MIF	0
MIF-AS1	0
RN7SL268P	0
SLC2A11	0
DERL3	1
SMARCB1	0
MMP11	0
LOC107985577	0
CHCHD10	0
C22orf15	2
LINC02557	0
LOC648771	75
FAM230I	0
LINC01659	0
LOC107985555	0
ZDHHC8P1	0
CES5AP1	0
LL22NC03-63E9.3	0
PRAME	0
LOC105379601	0
ZNF280A	0
LOC105379602	0
ZNF280B	0
LOC100736412	0
LOC105379603	7
LOC105379604	2
LOC102725003	2
LOC105379605	0
IGLV5-39	0
IGLV7-43	0
LOC102724999	90
IGLV5-45	14
SNORD159	0
LSS	9
SPATC1L	0
FTCD-AS1	0
FTCD	2
GART	113
DNAJC28	0
RPS5P3	0
TMEM50B	6
IFNGR2	31
C21orf62	0
C21orf62-AS1	0
PAXBP1	243
RNU4-45P	0
LOC100420035	0
LOC105379618	0
LINC00308	0
LOC100134423	4
BTG3-AS1	0
BTG3	75
LOC107987418	4
NEK4P1	0
LOC107985511	0
PCMTD2	194
MYT1	0
LOC105372727	0
NPBWR2	0
OPRL1	0
KCNQ2-AS1	0
LOC105372721	3
KCNQ2	0
LOC105372704	0
TAF4	16
MIR1257	0
CDH4	16
LOC107985440	0
LOC107987425	0
PCAT19	226
TPM3P5	14
PLEKHA3P1	8
LINC01480	3
LOC110467527	0
CEACAM21	37
CEACAMP3	0
DNAJC19P2	0
LOC105372404	1
CEACAM4	5
DNAJC19P3	0
LOC105372405	0
CEACAM7	2
GPI	836
GARRE1	40
RPL29P33	0
LSM14A	39
ZNF92P2	0
PCGF7P	1
MTDHP5	0
VN1R85P	0
ZNF676	0
BNIP3P30	0
LOC105372328	3
LOC107985324	0
BNIP3P31	0
ZNF43	61
BRI3BPP1	0
CCNYL6	0
ZNF100	0
VN1R84P	0
MTDHP4	0
MTDHP3	0
LOC400682	3
ZNF430	42
LOC112268247	0
KRT18P40	0
ZNF85	0
LOC100418993	0
LOC100418992	0
LOC100418991	0
LOC100418990	0
LOC100418989	0
LOC100418988	0
LOC100418987	0
LOC100418986	0
BNIP3P24	0
ZNF66	6
VN1R79P	0
LOC100533638	0
LOC105372319	1
SBNO2	3
MED16	338
CFD	0
ELANE	0
PRTN3	0
AZU1	0
CTDP1	129
CTDP1-DT	0
LOC284240	0
DSEL	0
LOC100422053	3
RPLP0P11	0
LOC105372115	0
SKA1	0
LOC105372114	0
RNA5SP458	0
TBCD	392
B3GNTL1	12
METRNL	162
SEPTIN9	687
LOC107984143	1
SEPTIN9-DT	0
LACAT1	0
MYL6P5	0
